,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5102821256987430,6234854507,2024-11-20 16:21:16,可塞里润滑 ,来自福建,5102821341398671,2,1,可塞里润滑 http://t.cn/A6nshKtb,6234854507,Cannannn,https://weibo.com/u/6234854507,微博原创视频博主,wb大号/ins：forrrrrza 🍠：Cannannn dy：canna  dy：cancan  盗图很多 注意分辨 看到举报 我不玩推 分享日常 懒得装 纯发风,其他,f,225670,133,7896,"105,152","3,752","773,397","882,301"
1,5102821256987430,6234854507,2024-11-20 16:21:26,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /> ",来自福建,5102821382292937,0,1,[赞] http://t.cn/A6nsh9AZ,6234854507,Cannannn,https://weibo.com/u/6234854507,微博原创视频博主,wb大号/ins：forrrrrza 🍠：Cannannn dy：canna  dy：cancan  盗图很多 注意分辨 看到举报 我不玩推 分享日常 懒得装 纯发风,其他,f,225670,133,7896,"105,152","3,752","773,397","882,301"
2,5102821256987430,6234854507,2024-11-20 19:14:36,"可是大的真的很爽阿<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />我就要又有修养内涵又大的",来自浙江,5102864962160521,13,19,可是大的真的很爽阿[泪]我就要又有修养内涵又大的,5036454742,_也好吧,https://weibo.com/u/5036454742,,该 想 我 了,浙江 宁波,f,90,180,44,22,2,89,113
3,5102821256987430,6234854507,2024-11-20 16:39:12,😢我有姐姐这觉悟就好了。我好在意这个大小,来自江苏,5102825854732749,4,8,😢我有姐姐这觉悟就好了。我好在意这个大小,7439164386,Circle_bethebitchok,https://weibo.com/u/7439164386,,“不假装幸福 不假装不幸 诚实以对”,其他,f,45,880,2814,950,69,667,"1,686"
4,5102821256987430,6234854507,2024-11-20 17:24:32,"我不信，她说太短没感觉<img alt=""[悲伤]"" title=""[悲伤]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ee/2018new_beishang_org.png"" />",来自广东,5102837262451752,2,0,我不信，她说太短没感觉[悲伤],7826031050,企业家松少,https://weibo.com/u/7826031050,,没有阳光，那就自己成为阳光。,其他,m,183,352,96,79,0,10,89
5,5102821256987430,6234854507,2024-11-20 16:48:31,你要这么说的话 我觉得我又行了,来自浙江,5102828200659075,0,0,你要这么说的话 我觉得我又行了,3222631380,小鹏的理想是在蔚来买辆特斯拉,https://weibo.com/u/3222631380,,水能载舟Exciting~~~,其他,m,1033,228,0,0,0,0,0
6,5102821256987430,6234854507,2024-11-25 14:13:23,奶长痘痘了,来自广东,5104601096784597,0,0,奶长痘痘了,5933708732,蒜了蒜了你搞不赢他,https://weibo.com/u/5933708732,,不鸣则已 一鸣惊人,湖北,m,172,328,4,0,0,1,1
7,5102821256987430,6234854507,2024-11-22 02:57:53,我比promax还长一点算什么尺寸,来自湖北,5103343940665623,0,0,我比promax还长一点算什么尺寸,7461837177,飞飞飞_200302,https://weibo.com/u/7461837177,,减肥中,广东,m,84,284,3,0,0,0,0
8,5102821256987430,6234854507,2024-11-21 11:51:29,"太不在意了<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />",来自浙江,5103115835803072,0,0,太不在意了[笑哈哈],7785843914,已突破16,https://weibo.com/u/7785843914,,,其他,m,95,222,1,1,0,12,13
9,5102821256987430,6234854507,2024-11-21 11:46:40,"开始注重默契的灵魂了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />升华了",来自广东,5103114627056300,0,3,开始注重默契的灵魂了[笑cry]升华了,2129051267,吃宵夜不会长肉,https://weibo.com/u/2129051267,,目标在，一路前行,海外 加拿大,m,414,828,24,2,0,31,33
10,5102821256987430,6234854507,2024-11-21 11:44:48,十八的可遇不可求吧,来自浙江,5103114153624312,0,0,十八的可遇不可求吧,7708747600,纯情bigmen,https://weibo.com/u/7708747600,,,其他,m,99,408,8,10,0,31,41
11,5102821256987430,6234854507,2024-11-21 08:38:20,"<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自辽宁,5103067228538075,0,10,[哈哈],6128271124,ROYROYing,https://weibo.com/u/6128271124,,♡永远善良可爱,辽宁 葫芦岛,f,27,26,198,315,2,445,762
12,5102821256987430,6234854507,2024-11-20 21:56:48,你居然注重这个？,来自甘肃,5102905778768802,0,0,你居然注重这个？,1718992340,站着把钱挣了off,https://weibo.com/u/1718992340,,干点儿人事,甘肃 兰州,m,858,569,3032,,,,
13,5102821256987430,6234854507,2024-11-20 17:18:05,真的假的额,来自广东,5102835643711534,0,0,真的假的额,1804892942,jd-wang,https://weibo.com/u/1804892942,,逗逼,广东 东莞,m,723,1263,1999,"4,425",692,102,"5,219"
14,5102821256987430,6234854507,2024-11-20 18:23:28,10和15感觉应该差挺多的,来自江苏,5102852095607801,0,1,10和15感觉应该差挺多的,5795171163,小兵阿坤123,https://weibo.com/u/5795171163,,,其他,m,258,588,79,4,0,18,22
