,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5155079309233676,5092899000,2025-04-14 12:30:03,关注可免费指导一次，加微信chaijunmao88,来自天津,5155309392498120,0,0,关注可免费指导一次，加微信chaijunmao88,5092899000,女追男教主,https://weibo.com/u/5092899000,情感博主 微博原创视频博主,咨询加微信 liuliandangao888,北京 朝阳区,f,483437,1305,3872,"56,031","529,319","1,426,212","2,011,562"
1,5155079309233676,5092899000,2025-04-14 01:06:13,"博主越来越有内容了<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自安徽,5155137299940663,0,1,博主越来越有内容了[good],7795220313,L林望舒,https://weibo.com/u/7795220313,,,其他,m,0,94,2,0,0,0,0
2,5155079309233676,5092899000,2025-04-15 14:48:00,转发微博,来自山东,5155706501595263,0,0,转发微博,6284941847,润润终生,https://weibo.com/u/6284941847,,,其他,m,97,1207,10332,26,103,168,297
3,5155079309233676,5092899000,2025-04-14 10:15:39,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自山东,5155275568844255,0,0,[打call],5316265785,湉湉不恬静,https://weibo.com/u/5316265785,,自己的小太阳🌞,山东 青岛,f,132,1438,1516,662,10,"1,308","1,980"
4,5155079309233676,5092899000,2025-04-14 20:51:59,真正喜欢的人根本说不出喜欢他什么，你就是爱他的一切，优点缺点都爱，只有对不爱的人你才能理智的说出，哦，喜欢他见多识广，有礼貌，有上进心什么之类的,来自江苏,5155435712086274,0,1,真正喜欢的人根本说不出喜欢他什么，你就是爱他的一切，优点缺点都爱，只有对不爱的人你才能理智的说出，哦，喜欢他见多识广，有礼貌，有上进心什么之类的,6386866599,蓝猫淘气三千问为什么,https://weibo.com/u/6386866599,,独立、自爱、心智成熟、理智清醒。,其他,f,4,31,152,44,1,6,51
5,5155079309233676,5092899000,2025-04-13 23:06:45,圈子 对于目前来说还真是个大问题。好难一定时间内突破。,来自新疆,5155107234907195,0,1,圈子 对于目前来说还真是个大问题。好难一定时间内突破。,6115060734,西瓜-少年,https://weibo.com/u/6115060734,,重新来过，不负此生,其他,m,29,35,24,63,2,31,96
6,5155079309233676,5092899000,2025-04-17 22:15:14,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自内蒙古,5156543822826180,0,0,[doge],3911729484,天恩87,https://weibo.com/u/3911729484,,路的尽头还有路，那是神的路！,山西,m,83,104,249,103,5,318,426
7,5155079309233676,5092899000,2025-04-13 21:27:38,好,来自广西,5155082292435903,0,0,好,2602920440,Sakura戦士丶,https://weibo.com/u/2602920440,,心墙高筑,其他,f,1079,565,12270,"26,446","5,874","10,598","42,918"
8,5155079309233676,5092899000,2025-04-14 06:45:32,"东亚男人的爱情就仅仅是性<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自湖南,5155222692038144,0,2,东亚男人的爱情就仅仅是性[哈哈],1794018830,FionnaS,https://weibo.com/u/1794018830,,喜欢舞裙，舞鞋，舞者~~~,湖南 常德,f,1035,423,3008,"1,918","1,302","3,816","7,036"
9,5155079309233676,5092899000,2025-04-13 21:17:08,"“喜欢”在一开始可能没有由来,所以你要经常问问自己到底喜欢他什么。如果你自己都不知道喜欢对方哪里，那你大概率也不是真喜欢他，你被困在感情里, 可能是因为你的圈子太小，你接触到的都是身边的人，没有更好、更合适的人出现。",来自山东,5155079650021739,0,2,"“喜欢”在一开始可能没有由来,所以你要经常问问自己到底喜欢他什么。如果你自己都不知道喜欢对方哪里，那你大概率也不是真喜欢他，你被困在感情里, 可能是因为你的圈子太小，你接触到的都是身边的人，没有更好、更合适的人出现。",5363492054,moliyanyan,https://weibo.com/u/5363492054,,岱宗夫如何？齐鲁青未了。造化钟神秀，阴阳割昏晓。荡胸生层云，决眦入归鸟。会当凌绝顶，一览众山小。,其他,f,908,1913,67273,"4,547","2,590","4,644","11,781"
