,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5135864549612016,1371163915,2025-02-19 21:49:18,"功能强大<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自山东,5135881187099999,0,1,功能强大[心][心],7465472590,大兵小喇叭,https://weibo.com/u/7465472590,军事博主 超话主持人（军事超话） 头条文章作者,传递正义的声音,山东 济南,m,106573,1195,20981,"85,971","80,168","242,778","408,917"
1,5135864549612016,1371163915,2025-02-19 23:10:42,感谢分享,来自广西,5135901676016224,0,0,感谢分享,3173261600,为所欲为的为呀,https://weibo.com/u/3173261600,淘女郎认证 时尚博主 超话创作官（李宏毅超话） 微博剪辑视频博主,只想把你留下.（部分视频来源网络，如侵可私删）,其他,f,220082,2276,13833,"297,744","72,946","2,746,013","3,116,703"
2,5135864549612016,1371163915,2025-02-19 22:44:23,了解了,来自海南,5135895051374869,0,0,了解了,5684017110,尖峰辉哥,https://weibo.com/u/5684017110,军事博主 头条文章作者,自由是生命的灵魂！,海南,m,90094,10082,11514,"47,228",735,"67,077","115,040"
3,5135864549612016,1371163915,2025-02-19 22:35:52,仅供参考,来自广东,5135892910179183,0,0,仅供参考,1730688337,梅Lee游,https://weibo.com/u/1730688337,美食博主 超话创作官（美食超话） 微博原创视频博主,每天分享一点美食,广东,f,178410,2449,12052,"99,318","41,696","200,163","341,177"
4,5135864549612016,1371163915,2025-02-19 22:07:36,太神奇了,来自北京,5135885794805970,0,0,太神奇了,1235564262,此间的山羊,https://weibo.com/u/1235564262,美食博主 搞笑视频自媒体 微博原创视频博主,一只老山羊,北京,m,740489,1791,23535,"434,276","78,743","1,053,147","1,566,166"
5,5135864549612016,1371163915,2025-02-19 22:07:29,这种事还是要自己,来自河南,5135885765448330,0,0,这种事还是要自己,1762152361,疯狂大象,https://weibo.com/u/1762152361,第五届“五个一百”网络正能量评选百项网络正能量榜样获得者、知政观察团成员,新浪微专家团特聘专家,河南 郑州,m,1139271,4047,83258,"185,604","196,193","373,703","755,500"
6,5135864549612016,1371163915,2025-02-19 22:01:04,来看看,来自山东,5135884149589724,0,0,来看看,3090496625,无懈可击小挠宝,https://weibo.com/u/3090496625,体育博主 超话粉丝大咖（世界杯超话）,知名体育博主,山东,f,589176,3396,25349,"527,059","121,606","1,189,268","1,837,933"
7,5135864549612016,1371163915,2025-02-19 22:00:46,厉害,来自陕西,5135884074621803,0,0,厉害,6085375409,Y张小勇,https://weibo.com/u/6085375409,退伍军人 军事博主,既然选择了远方，便只顾风雨兼程。,陕西 西安,m,181512,2766,5396,"261,435","64,382","2,178,457","2,504,274"
8,5135864549612016,1371163915,2025-02-19 21:59:10,"<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />很智能",来自天津,5135883672226454,0,0,[哈哈]很智能,3387074344,娮可,https://weibo.com/u/3387074344,微博社区志愿者 情感博主 超话小主持人（微博社区委员会超话） 微博原创视频博主,你闻，今晚的风是杜鹃花香🌸,天津,f,141762,2368,3670,"184,418","14,349","182,167","380,934"
9,5135864549612016,1371163915,2025-02-19 21:56:37,"很不错<img alt=""[赢牛奶]"" title=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" />",来自江西,5135883029715771,0,0,很不错[赢牛奶],7858228799,路人追剧,https://weibo.com/u/7858228799,娱乐博主 微博剪辑视频博主,绿色养眼,其他,f,46843,2647,6177,"40,212","5,008","164,118","209,338"
10,5135864549612016,1371163915,2025-02-19 21:54:16,感谢博主分享,来自山东,5135882438578259,0,0,感谢博主分享,7728342723,海右记,https://weibo.com/u/7728342723,旅游博主 微博原创视频博主,山东本地博主，投稿合作请+V：Hhzy0109,山东,m,418061,197,8192,"74,578","152,149","1,217,136","1,443,863"
