,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5133433245794628,5602942532,2025-02-13 10:40:44,明天情人节了,来自福建,5133538610906928,1,1,明天情人节了,2342846727,是煦煦哟,https://weibo.com/u/2342846727,娱乐博主 超话粉丝钻咖（博君一肖超话）,2025年快快乐乐，冲金加油加油,福建,f,14481,3177,6889,"229,484","193,651","182,701","605,836"
1,5133433245794628,5602942532,2025-02-13 13:30:29,"低质量的陪伴不如高质量的单身<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自河北,5133581330417188,0,2,低质量的陪伴不如高质量的单身[送花花],5334693557,碎嘴麻老师,https://weibo.com/u/5334693557,娱乐博主,有国家认证的麻老师👩🏻‍🏫,河北,f,3456,945,317,"2,552",6,"1,826","4,384"
2,5133433245794628,5602942532,2025-02-13 11:20:10,很值得深刻思考的,来自山东,5133548535418343,0,1,很值得深刻思考的,7876865975,泉水源源的年华,https://weibo.com/u/7876865975,美食博主 超话主持人（手机摄影超话） 微博原创视频博主,认真做人，踏实做事，用心面对一切！,山东,f,98909,7499,14264,,,,
3,5133433245794628,5602942532,2025-02-13 10:43:55,太厉害了,来自江西,5133539412806219,0,1,太厉害了,2095900595,从KHN起飞XIONG大熊,https://weibo.com/u/2095900595,航空博主 超话主持人（南昌机场超话）,全方位发布英雄城南昌交通（航空/铁路/轨道交通/城市道路/公交/公路/航运）+旅游（资讯/攻略），多谢关注～,江西,m,88427,8739,20316,"128,235","11,672","165,702","305,609"
4,5133433245794628,5602942532,2025-02-13 09:39:52,"Deepseek厉害<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自广东,5133523295929434,1,1,Deepseek厉害[心],1933519493,XIA-说XIN语,https://weibo.com/u/1933519493,头像本人 华南理工大学,,广东,m,20736,1122,451,,,,
5,5133433245794628,5602942532,2025-02-13 09:38:28,完美伴侣只存在电视剧里,来自山东,5133522941509917,0,1,完美伴侣只存在电视剧里,5646295690,坚持吃饭减肥的毛毛,https://weibo.com/u/5646295690,美食博主 微博原创视频博主,不爱运动，已减重26斤，身高158，初始体重60.21kg，分享生活化减肥食谱,山东,f,141390,621,3376,"41,595","6,689","68,838","117,122"
6,5133433245794628,5602942532,2025-02-13 03:44:40,世间男子如繁星，唯有心中所向，方能照亮彼此前路。,来自北京,5133433906922149,0,1,世间男子如繁星，唯有心中所向，方能照亮彼此前路。,7895700059,乌拉那拉氏不出废后,https://weibo.com/u/7895700059,电视剧博主,关注宜修，宜修会找你互动。关注后评论、@我，我会出现，私信常开，静待君来。,其他,f,15253,4425,2656,"22,129",602,"15,535","38,266"
7,5133433245794628,5602942532,2025-02-13 03:42:10,这段文字深刻探讨了择偶标准的虚幻性，引人深思，对现代人的恋爱观提出了质疑。,来自上海,5133433277776775,0,1,这段文字深刻探讨了择偶标准的虚幻性，引人深思，对现代人的恋爱观提出了质疑。,5985166710,嗨兰州,https://weibo.com/u/5985166710,本地资讯博主（兰州） 城市生活家,嗨吃，嗨玩，嗨兰州，兰州生活嗨起来！专注于兰州美食、旅游.关注嗨兰州，兰州吃玩不错过。合作V❤：598282339 微博区域MCN机构,甘肃 兰州,m,272059,305,10977,"91,178","12,871","63,727","167,776"
8,5133433245794628,5602942532,2025-02-13 10:28:28,"关于这个宝藏！请排队拿号！<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自广西,5133535522588935,3,1,关于这个宝藏！请排队拿号！[心],7935206937,鸿蒙小龙,https://weibo.com/u/7935206937,,,广西 梧州,m,2548,1868,3628,,,,
9,5133433245794628,5602942532,2025-02-13 10:41:21,"回复<a href=/n/罗文清forever usercard=""name=@罗文清forever"">@罗文清forever</a> 的表态:<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自广西,5133538767406916,0,1,回复@罗文清forever 的表态:[嘻嘻],7935206937,鸿蒙小龙,https://weibo.com/u/7935206937,,,广西 梧州,m,2548,1868,3628,,,,
