,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5151368664580662,3320045073,2025-04-05 15:54:19,40岁的女的都找的20岁的小鲜肉谁要你40岁男,来自四川,5152099306836067,12,59,40岁的女的都找的20岁的小鲜肉谁要你40岁男,5855073307,迷迷lili,https://weibo.com/u/5855073307,,其他,f,138,625,13,2,0,32,34
1,5151368664580662,3320045073,2025-04-05 20:32:11,如何理解？求解,来自广东,5152169234270193,6,0,如何理解？求解,1965815280,青蛇腾舞,https://weibo.com/u/1965815280,花开花落自有时，人来人往任由之,广东 广州,f,798,84,7048,"1,658",505,"1,307","3,470"
2,5151368664580662,3320045073,2025-04-05 19:28:45,"男的也知道男的讨人厌呢<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自湖北,5152153271535689,0,41,男的也知道男的讨人厌呢[送花花],2073527593,心狠手辣的喵桑,https://weibo.com/u/2073527593,你得去掌握，公平才会从手里诞生,湖北,f,4850,4421,4958,"3,800",192,"3,323","7,315"
3,5151368664580662,3320045073,2025-04-06 20:48:48,女人永远不会是男人，男人要是能是女人，绝对会是个不错的男人,来自广东,5152535803858914,2,6,女人永远不会是男人，男人要是能是女人，绝对会是个不错的男人,6199090525,西西雅艺02,https://weibo.com/u/6199090525,hello,广东,f,7,79,141,5,3,24,32
4,5151368664580662,3320045073,2025-04-06 17:21:12,你只是一个40岁男人，怎么还挑上全世界了？,来自广东,5152483560130590,0,10,你只是一个40岁男人，怎么还挑上全世界了？,5125125828,DannyFiona,https://weibo.com/u/5125125828,每天叫醒自己都是一种勇敢 努力勉强自己跟着世界旋转,其他,f,359,550,11684,"10,054","2,205","21,759","34,018"
5,5151368664580662,3320045073,2025-04-06 16:08:27,"40女的也不考虑40男的啊<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自北京,5152465252780458,0,10,40女的也不考虑40男的啊[汗],6069331566,樱思zandra,https://weibo.com/u/6069331566,你的书店有玫瑰吗.🐳🐰🐑,北京 朝阳区,f,196,208,780,235,7,952,"1,194"
6,5151368664580662,3320045073,2025-04-06 08:21:24,精辟,来自辽宁,5152347715011059,1,0,精辟,6028940594,soulV2016,https://weibo.com/u/6028940594,A medical editor.,辽宁 沈阳,f,26,463,203,112,7,206,325
7,5151368664580662,3320045073,2025-04-07 09:51:48,女人绝经后就是男人 婴儿和老年80多岁分不清男女了 人就是被荷尔蒙控制一生… 4050正是更年期 人生最难熬的阶段之一 没事去惹干嘛 能忍3个小时钢丝球吗？ 再也唱不出那样的歌曲 连听到都会红着脸躲避 早就忘了为何在一起,来自辽宁,5152732851734757,0,0,女人绝经后就是男人 婴儿和老年80多岁分不清男女了 人就是被荷尔蒙控制一生… 4050正是更年期 人生最难熬的阶段之一 没事去惹干嘛 能忍3个小时钢丝球吗？ 再也唱不出那样的歌曲 连听到都会红着脸躲避 早就忘了为何在一起,5356807296,深古翼57972,https://weibo.com/u/5356807296,,其他,m,1117,5131,94215,100,132,915,"1,147"
8,5151368664580662,3320045073,2025-04-06 09:24:11,但是20，30岁的男人喜欢长头发的男人,来自广东,5152363514430322,0,5,但是20，30岁的男人喜欢长头发的男人,6435216871,王十二jpg,https://weibo.com/u/6435216871,大家都向前走了 只留我一个人在原地 2025了 求求了 拉我一把吧！,其他,f,21,102,98,12,1,18,31
9,5151368664580662,3320045073,2025-04-07 13:57:21,40岁男本质上也是个短发女 还能in吗,来自江苏,5152794647986880,0,1,40岁男本质上也是个短发女 还能in吗,5361266898,澹然然,https://weibo.com/u/5361266898,,江苏,f,264,585,1485,667,15,486,"1,168"
10,5151368664580662,3320045073,2025-04-05 22:52:39,扯蛋！没见过真正的女人。,来自四川,5152204583864167,0,1,扯蛋！没见过真正的女人。,1014363993,xinbo421,https://weibo.com/u/1014363993,,四川 成都,m,38,32,616,82,17,238,337
11,5151368664580662,3320045073,2025-04-08 14:18:38,"40岁男有啥可谜之自信<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自广东,5153162390406928,0,0,40岁男有啥可谜之自信[挖鼻][挖鼻],5626207819,愚不可及123,https://weibo.com/u/5626207819,,广东 广州,f,74,208,472,13,2,90,105
12,5151368664580662,3320045073,2025-04-07 11:47:15,"//<a href=/n/-蜡烛队长- usercard=""name=@-蜡烛队长-"">@-蜡烛队长-</a>:哈哈哈哈，太对了，图你的大肚子还是地中海啊//<a href=/n/迷迷lili usercard=""name=@迷迷lili"">@迷迷lili</a>:40岁的女的都找的20岁的小鲜肉谁要你40岁男",来自四川,5152761910657609,0,0,//@-蜡烛队长-:哈哈哈哈，太对了，图你的大肚子还是地中海啊//@迷迷lili:40岁的女的都找的20岁的小鲜肉谁要你40岁男,7364027145,追剧快乐大本营,https://weibo.com/u/7364027145,,其他,m,61,1644,3642,7,314,48,369
13,5151368664580662,3320045073,2025-04-07 00:06:17,没男人有自知之明,来自北京,5152585506619495,0,0,没男人有自知之明,7796631586,用户7796631586,https://weibo.com/u/7796631586,,其他,m,18,8,1,0,0,10,10
14,5151368664580662,3320045073,2025-04-06 22:30:02,女人就是女人，男人就是男人。而且女人也有短发的。这句话是bullshit,来自广东,5152561285562708,0,1,女人就是女人，男人就是男人。而且女人也有短发的。这句话是bullshit,5652229388,kami小凯,https://weibo.com/u/5652229388,,广东 中山,m,48,37,8,0,1,58,59
15,5151368664580662,3320045073,2025-04-06 18:46:27,"都是一心搞钱的兄弟了<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自浙江,5152505014785633,0,0,都是一心搞钱的兄弟了[good],7470553326,钛金杰克,https://weibo.com/u/7470553326,三十而废 四十迷惑,浙江 温州,m,2,58,161,0,2,12,14
16,5151368664580662,3320045073,2025-04-06 17:42:10,"40找20，那得有钱啊，没钱你找个屁啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />有钱你60找20也行，没钱你20找20也不行",来自北京,5152488835518515,0,0,40找20，那得有钱啊，没钱你找个屁啊[允悲]有钱你60找20也行，没钱你20找20也不行,2030880657,纸活花圈专卖店,https://weibo.com/u/2030880657,,北京 东城区,f,236,20,74,27,1,146,174
17,5151368664580662,3320045073,2025-04-05 21:47:33,uj5元快递发全国胃（优享快运）,来自河南,5152188200656684,0,0,uj5元快递发全国胃（优享快运）,5644850795,发快递的小姐姐,https://weibo.com/u/5644850795,,其他,f,54,39,40,9,0,75,84
18,5151368664580662,3320045073,2025-04-05 09:19:00,"有谁来解释一下<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自云南,5151999822925033,0,0,有谁来解释一下[嘻嘻],7299657223,LE昂95,https://weibo.com/u/7299657223,,云南,f,6,208,77,1,0,18,19
19,5151368664580662,3320045073,2025-04-04 22:33:56,都想当1 谁当0呢,来自湖北,5151837486848607,0,1,都想当1 谁当0呢,7627986620,日渐理解痞老板,https://weibo.com/u/7627986620,🪄 ✩˚₊ ‧ 🫧 .⋆ ｡🧂,北京,f,81,1589,3296,21,14,185,220
20,5151368664580662,3320045073,2025-04-08 07:05:22,"<a href=/n/用户6366606466 usercard=""name=@用户6366606466"">@用户6366606466</a>：祝全世界所有40岁男人都拥有18岁的女朋友。千万不要找同龄女性。谁找谁是狗",来自陕西,5153053357114860,0,0,@用户6366606466：祝全世界所有40岁男人都拥有18岁的女朋友。千万不要找同龄女性。谁找谁是狗,6366606466,用户6366606466,https://weibo.com/u/6366606466,,其他,f,4,44,2,0,0,0,0
21,5151368664580662,3320045073,2025-04-03 21:18:03,你问问月薪 3000 的女性看得上月薪 3000 的男人吗,来自江苏,5151456005980634,0,0,你问问月薪 3000 的女性看得上月薪 3000 的男人吗,7687341792,用户7687341792,https://weibo.com/u/7687341792,,其他,m,90,121,54,1,0,73,74
