,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5143770559938825,2054300185,2025-03-13 16:20:43,"俞敏洪和成龙的话越听越正确<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自黑龙江,5143771030488122,3,59,俞敏洪和成龙的话越听越正确[笑cry],6331743388,瓦炉松烟,https://weibo.com/u/6331743388,新建文件夹丨gayety（防搜）,其他,m,1273,88,412,210,51,"1,069","1,330"
1,5143770559938825,2054300185,2025-03-13 16:26:27,不是男女朋友还要花花小蛋糕?玛德哪来的自信要的这么理直气壮，泽连斯基吗,来自广东,5143772472280377,1,54,不是男女朋友还要花花小蛋糕?玛德哪来的自信要的这么理直气壮，泽连斯基吗,5014578849,青春时辰,https://weibo.com/u/5014578849,,其他,m,84,93,290,310,14,494,818
2,5143770559938825,2054300185,2025-03-13 17:14:56,"真是这样的，以前和一女的相亲过。当时见面互相都没什么好感，后面也没聊了。结果过几天要到情人节了开始各种暗示要礼物，没搭理她，事后和介绍人说我情商低<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自安徽,5143784675086179,5,22,真是这样的，以前和一女的相亲过。当时见面互相都没什么好感，后面也没聊了。结果过几天要到情人节了开始各种暗示要礼物，没搭理她，事后和介绍人说我情商低[doge],5612964891,战术书生,https://weibo.com/u/5612964891,军事爱好者,其他,m,273,1465,1630,30,45,179,254
3,5143770559938825,2054300185,2025-03-13 17:48:25,"互联网时代就是好啊，乞丐都能坐在空调房里线上乞讨了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自贵州,5143793101177879,0,17,互联网时代就是好啊，乞丐都能坐在空调房里线上乞讨了[笑cry],7641012184,_昵称太难取了,https://weibo.com/u/7641012184,主要来抽奖,北京,m,22,263,1034,265,10,351,626
4,5143770559938825,2054300185,2025-03-13 17:48:08,长得漂亮，可以🌞🍺这都不是事。一天天搁这🎣，还装的普信🤛坦克有多远滚多远,来自重庆,5143793029089703,0,9,长得漂亮，可以🌞🍺这都不是事。一天天搁这🎣，还装的普信🤛坦克有多远滚多远,5335272786,散打队的小菜鸡,https://weibo.com/u/5335272786,,重庆,m,351,245,0,,,,
5,5143770559938825,2054300185,2025-03-13 16:28:52,这男的回复得都算高情商了，真赛博要饭,来自广西,5143773080980469,0,16,这男的回复得都算高情商了，真赛博要饭,5137921021,得撸大叔87,https://weibo.com/u/5137921021,,广西,m,63,90,269,20,4,26,50
6,5143770559938825,2054300185,2025-03-13 17:03:26,所以，一到节假日不要轻易和女生说节日快乐，,来自广东,5143781785207343,0,6,所以，一到节假日不要轻易和女生说节日快乐，,1940074313,枼欤晨同学,https://weibo.com/u/1940074313,比你优秀的人都在努力,广东 深圳,m,611,944,3951,405,39,433,877
7,5143770559938825,2054300185,2025-03-13 16:21:41,它们这种自我感觉良好的自信心到底从何而来 ,来自江苏,5143771274285132,0,6,它们这种自我感觉良好的自信心到底从何而来 http://t.cn/A6BVa6zI,3216467813,你的梦想我们守护,https://weibo.com/u/3216467813,带镇魂的能是什么好东西,其他,m,29,268,0,0,0,0,0
8,5143770559938825,2054300185,2025-03-13 19:10:54,"相互了解中就开始要东西啦？<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /><img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" /><img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自浙江,5143813857478384,0,4,相互了解中就开始要东西啦？[疑问][疑问][疑问],2884350264,你看我的眼里有小星星星语,https://weibo.com/u/2884350264,我的病就是没有感觉,河南 鹤壁,m,61,158,200,9,16,8,33
9,5143770559938825,2054300185,2025-03-13 18:58:29,神经病，一个臭要饭的还好意思发出来,来自广东,5143810733511918,0,3,神经病，一个臭要饭的还好意思发出来,7299441271,路边小葱9527,https://weibo.com/u/7299441271,,其他,m,58,229,153,14,1,32,47
