,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5154963274334512,1759015447,2025-04-16 14:59:34,这不是重男轻女导致的么？男女比例失衡！也更说明男性更想结婚！而女性并不想！你真的是律师吗？还是你只是想吃男女对立的红利？,来自广东,5156071796115955,2,0,这不是重男轻女导致的么？男女比例失衡！也更说明男性更想结婚！而女性并不想！你真的是律师吗？还是你只是想吃男女对立的红利？,7210066092,我说我叫马铃薯你非要叫我土豆,https://weibo.com/u/7210066092,````````````````````````````````,广东 惠州,f,8,328,84,82,6,332,420,
1,5154963274334512,1759015447,2025-04-13 13:43:34,支持！支持男的坚持不谈恋爱不结婚。,来自广东,5154965505183099,23,133,支持！支持男的坚持不谈恋爱不结婚。,1639055284,lyastark,https://weibo.com/u/1639055284,拒绝杠精和脑部发育不良者，会拉黑。,广东 广州,f,27,1052,4364,29,112,229,370,
2,5154963274334512,1759015447,2025-04-14 10:03:07,男人应该为了爱情零彩礼上门了，别那么拜金,来自海南,5155272415512379,8,46,男人应该为了爱情零彩礼上门了，别那么拜金,6623274254,YUANLAI-XU,https://weibo.com/u/6623274254,坚持公平正义,海南,f,119,939,5619,236,578,972,"1,786",
3,5154963274334512,1759015447,2025-04-13 13:37:22,"烟都戒不了，荷尔蒙能戒得了？<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自新疆,5154963950404293,5,17,烟都戒不了，荷尔蒙能戒得了？[doge],2528684350,kerrig,https://weibo.com/u/2528684350,,新疆,m,105,175,1169,17,1,106,124,
4,5154963274334512,1759015447,2025-04-16 09:29:12,这么看来，男人活该，支持捞女收割富人的钱包,来自浙江,5155988655573411,3,4,这么看来，男人活该，支持捞女收割富人的钱包,6747228524,絆嗰承諾,https://weibo.com/u/6747228524,得到即失去，孤独却不能回头。信念使我在茫茫人海不曾回头,浙江 台州,m,105,65,371,9,3,34,46,
5,5154963274334512,1759015447,2025-04-13 13:43:04,"确实如此，我有很多熟人都是搞了八年以上都被迫结婚的，他们从十多岁开始谈乱爱，几年后，被迫结婚。不过年龄大的没有这样的，一般过了二十岁的，就只能做梦了。<img alt=""[偷乐]"" title=""[偷乐]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhtouxiao_thumb.gif"" />",来自河北,5154965379614848,0,5,确实如此，我有很多熟人都是搞了八年以上都被迫结婚的，他们从十多岁开始谈乱爱，几年后，被迫结婚。不过年龄大的没有这样的，一般过了二十岁的，就只能做梦了。[偷乐],6608365226,前方路长怎能止步,https://weibo.com/u/6608365226,,河北,m,156,1893,1018,67,19,155,241,
6,5154963274334512,1759015447,2025-04-13 13:37:39,成都呢？,来自上海,5154964017780134,0,1,成都呢？,2476823680,史前的伊蚊,https://weibo.com/u/2476823680,玩微博嘛，无非两件事。一件是关我P事。另一件是关你P事。,上海 静安区,m,500,461,13580,"2,528","5,656","2,306","10,490",
7,5154963274334512,1759015447,2025-04-13 14:59:23,能找到老婆就不错了，饱汉不知饿汉饥,来自江苏,5154984584811525,3,0,能找到老婆就不错了，饱汉不知饿汉饥,2160546793,七九三十,https://weibo.com/u/2160546793,,其他,f,287,1112,1179,81,14,97,192,
8,5154963274334512,1759015447,2025-04-14 13:26:38,支持 我是女的 两性之间各过各的就好了,来自广东,5155323632160436,0,14,支持 我是女的 两性之间各过各的就好了,1289422375,喵小小小小小__,https://weibo.com/u/1289422375,I want sweet as sugar and everything nice!,北京 东城区,f,83,314,15,0,0,1,1,
9,5154963274334512,1759015447,2025-04-15 08:42:48,"<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" /><img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />主要还是要传宗接代——有后的压力太大。<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />然而现代科技还没制造出人工模拟子宫的环境来。<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />",来自山东,5155614591552506,1,0,[嘻嘻][二哈][并不简单]主要还是要传宗接代——有后的压力太大。[doge]然而现代科技还没制造出人工模拟子宫的环境来。[喵喵],1648990441,任叔岳,https://weibo.com/u/1648990441,历史学半通的军迷军事爱好者一个，同时也喜欢文艺作品……但是对流行文化不感冒，颇有怀旧情怀！,山东 滨州,m,165788,12270,115013,"19,812","50,446","52,604","122,862",头条文章作者
10,5154963274334512,1759015447,2025-04-13 13:47:11,说的有道理，现在很多男士也开始觉醒了，今年情人节妇女节朋友圈可见一斑，没几个女生显摆礼物了,来自广东,5154966421111162,1,10,说的有道理，现在很多男士也开始觉醒了，今年情人节妇女节朋友圈可见一斑，没几个女生显摆礼物了,6225144289,用户6225144289,https://weibo.com/u/6225144289,谁无暴风劲雨时，守的云开见明月,广东 广州,m,42,363,27,2,0,33,35,
11,5154963274334512,1759015447,2025-04-13 13:55:57,"彩礼适当十万以内合理，超过十万或者漫天要价的基本不是真心过日子<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,5154968622597846,1,0,彩礼适当十万以内合理，超过十万或者漫天要价的基本不是真心过日子[允悲],7547202276,Mical0,https://weibo.com/u/7547202276,,其他,f,19,35,4,0,1,1,2,
12,5154963274334512,1759015447,2025-04-13 13:42:06,日本又领先我们20年了。,来自广东,5154965137393568,0,4,日本又领先我们20年了。,7732820538,crazy_牛牛_,https://weibo.com/u/7732820538,,其他,m,73,266,96,22,15,37,74,
13,5154963274334512,1759015447,2025-04-16 10:17:43,没办法，🐢男太多了,来自辽宁,5156000865192899,0,4,没办法，🐢男太多了,6356775879,懵懂小李在线摄影,https://weibo.com/u/6356775879,,其他,m,101,143,33,1,0,1,2,
14,5154963274334512,1759015447,2025-04-13 13:38:10,再多点婚姻诈骗，龟龟们要么被搞死要么觉醒,来自北京,5154964146226355,0,5,再多点婚姻诈骗，龟龟们要么被搞死要么觉醒,1777369455,马_不停蹄,https://weibo.com/u/1777369455,,北京,m,512,400,2600,"1,215",986,113,"2,314",
15,5154963274334512,1759015447,2025-04-13 19:19:59,不好说，但可以先为自己而活，丢一丢社会角色之类规训,来自北京,5155050168522356,0,2,不好说，但可以先为自己而活，丢一丢社会角色之类规训,3625640517,横风不摇,https://weibo.com/u/3625640517,,江西 南昌,m,105,470,1740,57,16,278,351,
16,5154963274334512,1759015447,2025-04-16 11:53:24,让男生团结起来，基本上不可能，没办法，社会就是这样，谁让女生比男生少呢？物以稀为贵呗，要是男少女多，你试试,来自甘肃,5156024948359702,0,1,让男生团结起来，基本上不可能，没办法，社会就是这样，谁让女生比男生少呢？物以稀为贵呗，要是男少女多，你试试,6443565187,巴黎夜雨80914,https://weibo.com/u/6443565187,答案都在路上，自由都在风里,其他,m,26,195,23,4,0,42,46,
17,5154963274334512,1759015447,2025-04-14 18:59:17,支持男人远离女人 不婚不谈恋爱不嫖娼 不要姐妹的房子财产,来自河南,5155407346538260,0,1,支持男人远离女人 不婚不谈恋爱不嫖娼 不要姐妹的房子财产,7910885495,7910885495_275,https://weibo.com/u/7910885495,新建文件夹/11bt性别分离主义者,河南,m,57,260,912,50,76,546,672,
18,5154963274334512,1759015447,2025-04-16 15:04:35,一定要说到做到啊，谁做不到谁是金针菇,来自湖北,5156073057813935,0,1,一定要说到做到啊，谁做不到谁是金针菇,6340530816,萤火虫HL531,https://weibo.com/u/6340530816,,湖北,f,212,1915,134,1,4,35,40,
19,5154963274334512,1759015447,2025-04-13 13:35:52,"女性也就在这个方面占有点优势<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自山西,5154963568988072,1,1,女性也就在这个方面占有点优势[允悲],6256294329,老贾的山之子,https://weibo.com/u/6256294329,平遥国际电影展资深影迷，山西汾酒股份男篮普通球迷。,山西 太原,m,32,89,796,97,7,235,339,
20,5154963274334512,1759015447,2025-04-16 15:19:42,龟男太多，没用,来自湖南,5156076862571821,0,0,龟男太多，没用,6990621657,夏目爱大雄,https://weibo.com/u/6990621657,,北京,f,85,201,352,371,5,"1,893","2,269",
21,5154963274334512,1759015447,2025-04-16 14:58:03,要及时止损，女的不愿意，直接换下一个啊！除非两个柏拉图之恋啊！非得一上脑，把自己搞进去不值当！,来自山东,5156071418626448,0,0,要及时止损，女的不愿意，直接换下一个啊！除非两个柏拉图之恋啊！非得一上脑，把自己搞进去不值当！,2301362521,昱到枫的PZ,https://weibo.com/u/2301362521,,山东 济南,m,101,548,933,62,10,221,293,
