,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5154527145887333,5673354663,2025-04-12 09:02:06,打过来老人和小孩先跑,来自广西,5154532285222363,2,1414,打过来老人和小孩先跑,6200321792,半夜离家出走住到小三家,https://weibo.com/u/6200321792,自由,其他,m,15,248,2890,"1,218",116,"1,222","2,556",
1,5154527145887333,5673354663,2025-04-14 12:26:42,其实我很不喜欢这种论调，这还是没有女本位去思考问题。男人怎么样关我什么事？要做的是我们自己强大让男人迎合我们,来自北京,5155308548918369,10,19,其实我很不喜欢这种论调，这还是没有女本位去思考问题。男人怎么样关我什么事？要做的是我们自己强大让男人迎合我们,5721705404,仑子一枚,https://weibo.com/u/5721705404,等一个三,河南 开封,f,79,78,274,258,121,884,"1,263",
2,5154527145887333,5673354663,2025-04-12 08:47:01,8u打过来我先跑了,来自河南,5154528493568190,1,440,8u打过来我先跑了,7937680233,城北燕飞,https://weibo.com/u/7937680233,也许此生不会见面，但我希望你一直幸福,其他,m,398,385,21,141,4,114,259,超话小主持人（怎么咬哇超话）
3,5154527145887333,5673354663,2025-04-13 19:23:17,"并且还有爱男姐来站在所谓的中间说男人这样是对的爱情不应该被别的东西束缚，笑死我了<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />",来自甘肃,5155051003447345,1,119,并且还有爱男姐来站在所谓的中间说男人这样是对的爱情不应该被别的东西束缚，笑死我了[摊手],7937766114,渣男贱女天生绝配锁死,https://weibo.com/u/7937766114,啥芶美叠吗玩意才嘛我，全反弹,其他,m,0,8,0,0,0,0,0,
4,5154527145887333,5673354663,2025-04-12 12:38:51,这是专家,来自重庆,5154586832406451,1,129,这是专家,5211892094,管的着吗你X,https://weibo.com/u/5211892094,do or die,四川 绵阳,f,466,630,382,"1,693",8,"1,888","3,589",
5,5154527145887333,5673354663,2025-04-13 18:05:11,所以女性要强大，成为富婆可以拥有好看身材好性格好的男人,来自江苏,5155031348674621,1,24,所以女性要强大，成为富婆可以拥有好看身材好性格好的男人,7942098402,用户7942098402,https://weibo.com/u/7942098402,,其他,m,6,66,12,1,1,31,33,
6,5154527145887333,5673354663,2025-04-15 11:26:04,拥有什么东西就想吸引注重这方面的人。  要啥没啥的，就在评论区跳脚,来自陕西,5155655683148900,1,13,拥有什么东西就想吸引注重这方面的人。  要啥没啥的，就在评论区跳脚,6303100640,南花闭皓月出,https://weibo.com/u/6303100640,星空三千丈，不遮你光芒！,甘肃,f,124,381,2789,"1,815",818,"7,038","9,671",
7,5154527145887333,5673354663,2025-04-14 17:09:09,"石女士头像好萌<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />",来自湖北,5155379631097798,1,2,石女士头像好萌[抱一抱],6536794629,大人不记小猫糕__,https://weibo.com/u/6536794629,🇬🇧,其他,f,168,212,42,13,0,13,26,
8,5154527145887333,5673354663,2025-04-13 19:43:30,你完了8u还有三秒钟,来自广东,5155056086946415,1,16,你完了8u还有三秒钟,7969052556,shuuuir,https://weibo.com/u/7969052556,骂到你心肝了？,其他,f,9,50,63,16,18,30,64,
9,5154527145887333,5673354663,2025-04-13 15:05:37,姐妹这次我真的没办法救你了,来自陕西,5154986153478028,4,169,姐妹这次我真的没办法救你了,6272122604,ifitkeepsraining,https://weibo.com/u/6272122604,,其他,f,71,874,2117,"2,195",69,"1,287","3,551",
